Word,Frequency,Letters_Number,Unique_Letters_number,Difference,Tokens_Number,Tokens_gpt4o-mini,GPT4o-mini_IFCorrect
acceptable,14590887,10,7,3,1,acceptable,0
satisfied,14589394,9,7,2,2,s atisfied,0
glad,14585030,4,4,0,2,gl ad,1
wins,14584511,4,4,0,1,wins,1
measurements,14571657,12,8,4,2,measure ments,0
verify,14563766,6,6,0,1,verify,0
globe,14554904,5,5,0,2,g lobe,1
trusted,14554254,7,6,1,1,trusted,1
copper,14543941,6,5,1,2,c opper,1
milwaukee,14539988,9,8,1,2,mil waukee,0
rack,14533607,4,4,0,1,rack,1
medication,14530555,10,9,1,2,med ication,0
warehouse,14530204,9,8,1,1,warehouse,0
shareware,14526022,9,6,3,2,share ware,0
ec,14520396,2,2,0,1,ec,1
rep,14515807,3,3,0,1,rep,1
dicke,14514973,5,5,0,2,dic ke,1
kerry,14514771,5,4,1,2,k erry,1
receipt,14513169,7,6,1,1,receipt,1
supposed,14497557,8,6,2,2,sup posed,0
ordinary,14494084,8,7,1,1,ordinary,1
nobody,14490265,6,5,1,2,n obody,1
ghost,14490042,5,5,0,1,ghost,1
violation,14467817,9,7,2,2,vi olation,0
configure,14461355,9,9,0,1,configure,1
stability,14458903,9,7,2,2,st ability,0
mit,14453361,3,3,0,1,mit,1
applying,14440499,8,7,1,2,app lying,0
southwest,14437691,9,7,2,2,south west,0
boss,14436477,4,3,1,1,boss,1
pride,14428078,5,5,0,2,pr ide,1
institutional,14424194,13,8,5,2,institution al,0
expectations,14423121,12,10,2,2,expect ations,1
independence,14412277,12,6,6,2,in dependence,0
knowing,14410719,7,6,1,2,know ing,1
reporter,14400125,8,5,3,2,report er,0
metabolism,14391891,10,9,1,3,met abol ism,0
keith,14391094,5,5,0,2,ke ith,1
champion,14388928,8,8,0,2,ch ampion,1
cloudy,14383882,6,6,0,2,cloud y,1
linda,14380554,5,5,0,2,l inda,1
ross,14375120,4,3,1,1,ross,1
personally,14373028,10,9,1,2,person ally,0
chile,14372798,5,5,0,2,ch ile,1
anna,14372193,4,2,2,1,anna,1
plenty,14364719,6,6,0,2,pl enty,1
solo,14360216,4,3,1,2,s olo,1
sentence,14359872,8,5,3,1,sentence,0
throat,14353822,6,5,1,1,throat,1
ignore,14353555,6,6,0,1,ignore,1
maria,14347893,5,4,1,2,mar ia,1
uniform,14345220,7,7,0,1,uniform,1
excellence,14332723,10,5,5,3,ex cell ence,0
wealth,14325239,6,6,0,1,wealth,1
tall,14323697,4,3,1,2,t all,1
rm,14318442,2,2,0,1,rm,1
somewhere,14317877,9,7,2,2,som ewhere,0
vacuum,14316397,6,5,1,2,vac uum,1
dancing,14310606,7,6,1,2,d ancing,1
attributes,14300116,10,8,2,1,attributes,0
recognize,14300000,9,8,1,2,recogn ize,1
brass,14298573,5,4,1,2,br ass,0
writes,14276954,6,6,0,1,writes,1
plaza,14274314,5,4,1,2,pl aza,1
pdas,14267487,4,4,0,2,pd as,1
outcomes,14265483,8,7,1,2,out comes,0
survival,14259073,8,7,1,3,sur v ival,0
quest,14258533,5,5,0,1,quest,1
publish,14255645,7,7,0,1,publish,1
sri,14252518,3,3,0,2,s ri,1
screening,14248830,9,7,2,2,screen ing,0
toe,14248601,3,3,0,2,to e,1
thumbnail,14245047,9,9,0,1,thumbnail,0
trans,14243681,5,5,0,1,trans,1
jonathan,14235793,8,6,2,2,jon athan,1
whenever,14234378,8,6,2,2,wh enever,0
nova,14231374,4,4,0,1,nova,1
lifetime,14229499,8,6,2,1,lifetime,0
api,14226160,3,3,0,1,api,1
pioneer,14225288,7,6,1,2,p ioneer,1
booty,14218854,5,4,1,2,boot y,1
forgotten,14214206,9,7,2,2,forg otten,0
acrobat,14213883,7,6,1,2,acro bat,1
plates,14210099,6,6,0,1,plates,1
acres,14208905,5,5,0,2,ac res,1
venue,14204074,5,4,1,1,venue,1
athletic,14193383,8,7,1,2,ath letic,1
thermal,14186960,7,7,0,1,thermal,1
essays,14183871,6,4,2,2,ess ays,0
behaviour,14175567,9,9,0,2,beh aviour,0
vital,14166642,5,5,0,2,v ital,1
telling,14160780,7,6,1,2,t elling,0
fairly,14154477,6,6,0,2,fair ly,1
coastal,14153912,7,6,1,3,co ast al,0
config,14152050,6,6,0,1,config,1
cf,14145612,2,2,0,1,cf,1
charity,14141658,7,7,0,2,char ity,1
intelligent,14136076,11,6,5,2,int elligent,0
edinburgh,14135031,9,9,0,2,edin burgh,1
vt,14134539,2,2,0,1,vt,1
excel,14133468,5,4,1,1,excel,0
modes,14131325,5,5,0,1,modes,1
obligation,14122636,10,8,2,3,ob lig ation,0
campbell,14122054,8,7,1,2,camp bell,0
wake,14120141,4,4,0,1,wake,1
stupid,14118370,6,6,0,2,st upid,1
harbor,14117675,6,5,1,2,har bor,1
hungary,14113963,7,7,0,2,hung ary,1
traveler,14109044,8,6,2,2,travel er,0
urw,14107957,3,3,0,2,ur w,1
segment,14101910,7,6,1,1,segment,1
realize,14098493,7,6,1,2,real ize,0
regardless,14096520,10,7,3,2,reg ardless,0
lan,14086211,3,3,0,1,lan,1
enemy,14084182,5,4,1,1,enemy,1
puzzle,14083532,6,5,1,2,p uzzle,0
rising,14079219,6,5,1,1,rising,0
aluminum,14077377,8,6,2,2,al uminum,1
wells,14073676,5,4,1,2,w ells,1
wishlist,14070610,8,6,2,1,wishlist,0
opens,14070477,5,5,0,1,opens,1
insight,14070057,7,6,1,2,ins ight,0
sms,14066848,3,2,1,1,sms,1
shit,14058658,4,4,0,1,shit,1
restricted,14056761,10,7,3,1,restricted,0
republican,14056260,10,10,0,3,re public an,0
secrets,14054988,7,5,2,2,se crets,1
lucky,14053901,5,5,0,2,l ucky,1
latter,14044005,6,5,1,2,l atter,0
merchants,14033655,9,9,0,2,mer chants,1
thick,14030556,5,5,0,2,th ick,1
trailers,14029478,8,7,1,2,trail ers,1
repeat,14024814,6,5,1,1,repeat,0
syndrome,14023758,8,8,0,3,sy nd rome,1
philips,14023116,7,5,2,2,phil ips,0
attendance,14022851,10,6,4,1,attendance,0
penalty,14018500,7,7,0,2,pen alty,1
drum,14015510,4,4,0,2,dr um,1
glasses,14009815,7,5,2,2,g lasses,0
enables,14005681,7,6,1,2,en ables,1
nec,14001999,3,3,0,2,n ec,1
iraqi,13999381,5,4,1,2,ira qi,1
builder,13993483,7,7,0,1,builder,1
vista,13991160,5,5,0,2,v ista,1
jessica,13985443,7,6,1,3,j ess ica,1
chips,13982676,5,5,0,2,ch ips,1
terry,13981773,5,4,1,2,ter ry,1
flood,13979267,5,4,1,2,f lood,0
foto,13978552,4,3,1,1,foto,1
ease,13974702,4,3,1,1,ease,1
arguments,13971547,9,9,0,1,arguments,0
amsterdam,13969875,9,7,2,2,am sterdam,0
orgy,13967728,4,4,0,2,org y,1
arena,13966572,5,4,1,1,arena,1
adventures,13966085,10,9,1,3,ad vent ures,0
pupils,13951572,6,5,1,3,p up ils,1
stewart,13951321,7,6,1,2,st ewart,0
announcement,13951272,12,8,4,1,announcement,0
tabs,13950657,4,4,0,1,tabs,1
outcome,13941550,7,6,1,1,outcome,0
xx,13940135,2,1,1,1,xx,1
appreciate,13938792,10,7,3,3,app rec iate,0
expanded,13932764,8,6,2,1,expanded,0
casual,13932521,6,5,1,2,cas ual,1
grown,13931521,5,5,0,1,grown,1
polish,13927858,6,6,0,2,pol ish,1
lovely,13923904,6,5,1,2,lo vely,0
extras,13923870,6,6,0,1,extras,1
gm,13918451,2,2,0,1,gm,1
centres,13910645,7,6,1,2,cent res,1
jerry,13908229,5,4,1,2,j erry,1
clause,13906621,6,6,0,1,clause,1
smile,13893537,5,5,0,2,sm ile,1
lands,13891179,5,5,0,1,lands,1
ri,13890693,2,2,0,1,ri,1
troops,13879349,6,5,1,2,tro ops,1
indoor,13871917,6,5,1,2,ind oor,1
bulgaria,13868346,8,7,1,3,bul g aria,1
armed,13866785,5,5,0,1,armed,1
broker,13865583,6,5,1,1,broker,1
charger,13862324,7,6,1,1,charger,0
regularly,13860363,9,7,2,2,regular ly,1
believed,13851733,8,6,2,2,bel ieved,1
pine,13842664,4,4,0,1,pine,1
cooling,13842002,7,6,1,2,cool ing,1
tend,13840765,4,4,0,2,t end,1
gulf,13830000,4,4,0,2,g ulf,1
rt,13828683,2,2,0,1,rt,1
rick,13822320,4,4,0,1,rick,1
trucks,13809070,6,6,0,2,tr ucks,1
cp,13806456,2,2,0,1,cp,1
mechanisms,13805561,10,8,2,3,me chan isms,0
divorce,13803408,7,7,0,2,div orce,1
laura,13801282,5,4,1,2,l aura,1
shopper,13798030,7,6,1,2,shop per,1
tokyo,13793165,5,4,1,2,tok yo,1
partly,13790568,6,6,0,2,part ly,1
nikon,13789510,5,4,1,2,nik on,1
customize,13783519,9,9,0,1,customize,1
tradition,13773517,9,7,2,2,trad ition,0
candy,13772033,5,5,0,2,c andy,1
pills,13767091,5,4,1,2,p ills,1
tiger,13763074,5,5,0,2,t iger,1
donald,13761404,6,5,1,2,don ald,1
folks,13760930,5,5,0,2,fol ks,1
sensor,13759334,6,5,1,1,sensor,0
exposed,13756477,7,6,1,2,ex posed,1
telecom,13755270,7,6,1,2,tele com,0
hunt,13752874,4,4,0,1,hunt,1
angels,13747515,6,6,0,2,ang els,1
deputy,13747486,6,6,0,2,de puty,1
indicators,13737979,10,9,1,2,ind icators,0
sealed,13733878,6,5,1,1,sealed,1
thai,13726171,4,4,0,2,th ai,1
emissions,13718311,9,6,3,2,em issions,0
physicians,13717814,10,8,2,2,phys icians,0
loaded,13714028,6,5,1,1,loaded,0
fred,13703297,4,4,0,1,fred,1
complaint,13703047,9,9,0,2,com plaint,1
scenes,13691578,6,4,2,1,scenes,1
experiments,13690535,11,9,2,2,ex periments,0
balls,13683840,5,4,1,1,balls,1
afghanistan,13675892,11,8,3,3,af ghan istan,0
dd,13675652,2,1,1,1,dd,1
boost,13675076,5,4,1,1,boost,0
spanking,13673436,8,7,1,2,span king,1
scholarship,13667978,11,9,2,3,sch olar ship,0
governance,13664006,10,8,2,3,g overn ance,1
mill,13658453,4,3,1,1,mill,1
founded,13656662,7,6,1,2,f ounded,0
supplements,13656530,11,8,3,2,sup plements,0
chronic,13650397,7,6,1,2,chron ic,1
icons,13649671,5,5,0,1,icons,1
tranny,13645638,6,5,1,2,tr anny,1
moral,13643598,5,5,0,2,m oral,1
den,13641144,3,3,0,1,den,1
catering,13638302,8,8,0,3,c ater ing,1
aud,13636055,3,3,0,1,aud,1
finger,13628350,6,6,0,1,finger,1
keeps,13624468,5,4,1,2,ke eps,0
pound,13620117,5,5,0,2,p ound,1
locate,13616735,6,6,0,1,locate,1
camcorder,13609184,9,7,2,3,cam c order,1
pl,13608193,2,2,0,1,pl,1
trained,13608102,7,7,0,1,trained,0
burn,13602754,4,4,0,1,burn,1
implementing,13588118,12,8,4,2,implement ing,0
roses,13584758,5,4,1,2,ros es,1
labs,13582203,4,4,0,1,labs,1
ourselves,13581863,9,7,2,2,ours elves,0
bread,13575360,5,5,0,1,bread,1
tobacco,13574147,7,5,2,3,t ob acco,1
wooden,13564576,6,5,1,2,wood en,0
motors,13563719,6,5,1,2,mot ors,1
tough,13560922,5,5,0,2,t ough,1
roberts,13553645,7,6,1,3,ro bert s,1
incident,13553458,8,6,2,1,incident,0
gonna,13542156,5,4,1,2,gon na,0
dynamics,13534626,8,8,0,2,d ynamics,1
lie,13533542,3,3,0,1,lie,1
crm,13533108,3,3,0,1,crm,1
rf,13530421,2,2,0,1,rf,1
conversation,13527150,12,10,2,1,conversation,0
decrease,13523903,8,6,2,2,de crease,0
cumshots,13521963,8,7,1,2,cum shots,1
chest,13516414,5,5,0,1,chest,1
pension,13515899,7,6,1,2,p ension,1
billy,13515249,5,4,1,2,b illy,1
revenues,13508713,8,6,2,2,re venues,0
emerging,13504049,8,6,2,2,em erging,0
worship,13502651,7,7,0,2,wor ship,1
bukkake,13499254,7,5,2,4,b uk k ake,0
capability,13491067,10,8,2,1,capability,0
ak,13486949,2,2,0,1,ak,1
fe,13484286,2,2,0,1,fe,1
craig,13480763,5,5,0,2,c raig,1
herself,13479005,7,6,1,3,h ers elf,0
producing,13472319,9,9,0,2,produ cing,1
churches,13467005,8,6,2,2,church es,1
precision,13465434,9,8,1,1,precision,0
damages,13463452,7,6,1,2,dam ages,0
reserves,13456639,8,4,4,2,res erves,1
contributed,13454831,11,10,1,2,contrib uted,1
solve,13452150,5,5,0,1,solve,0
shorts,13446221,6,5,1,2,short s,1
reproduction,13443395,12,10,2,2,re production,1
minority,13436730,8,7,1,2,minor ity,1
td,13432717,2,2,0,1,td,1
diverse,13432331,7,6,1,3,div er se,1
amp,13421855,3,3,0,1,amp,1
ingredients,13418042,11,8,3,1,ingredients,0
sb,13412944,2,2,0,1,sb,1
ah,13406814,2,2,0,1,ah,1
johnny,13404833,6,5,1,2,john ny,1
sole,13401764,4,4,0,1,sole,1
franchise,13396527,9,9,0,2,fr anchise,1
recorder,13394033,8,5,3,2,rec order,0
complaints,13388225,10,10,0,3,com plaint s,0
facing,13385115,6,6,0,2,f acing,1
sm,13383491,2,2,0,1,sm,1
nancy,13381057,5,4,1,2,n ancy,0
promotions,13378320,10,8,2,2,prom otions,0
tones,13373535,5,5,0,1,tones,1
passion,13370569,7,6,1,2,pass ion,1
rehabilitation,13370501,14,10,4,3,re hab ilitation,0
maintaining,13362778,11,6,5,2,maint aining,0
sight,13360499,5,5,0,2,s ight,1
laid,13359320,4,4,0,2,l aid,1
clay,13357683,4,4,0,2,cl ay,1
defence,13356231,7,5,2,2,def ence,0
patches,13354086,7,7,0,1,patches,1
weak,13347842,4,4,0,1,weak,1
refund,13340961,6,6,0,1,refund,1
usc,13340286,3,3,0,1,usc,1
towns,13337599,5,5,0,2,town s,1
environments,13331567,12,9,3,1,environments,0
trembl,13326500,6,6,0,3,t rem bl,1
divided,13323175,7,4,3,2,div ided,0
blvd,13317989,4,4,0,2,bl vd,1
reception,13317222,9,8,1,2,re ception,1
amd,13312952,3,3,0,1,amd,1
wise,13299902,4,4,0,1,wise,1
emails,13289920,6,6,0,1,emails,1
cyprus,13285903,6,6,0,2,cy prus,1
wv,13283422,2,2,0,2,w v,1
odds,13282573,4,3,1,2,od ds,0
correctly,13281872,9,7,2,2,correct ly,0
insider,13275905,7,6,1,2,ins ider,0
seminars,13272933,8,7,1,3,se min ars,1
consequences,13267090,12,7,5,2,con sequences,0
makers,13264592,6,6,0,1,makers,1
hearts,13262019,6,6,0,2,he arts,1
geography,13258481,9,8,1,2,ge ography,0
appearing,13254387,9,7,2,2,appe aring,1
integrity,13247038,9,7,2,2,int egrity,0
worry,13243591,5,4,1,2,w orry,1
ns,13239487,2,2,0,1,ns,1
discrimination,13237807,14,10,4,3,disc rim ination,0
eve,13237067,3,2,1,1,eve,1
carter,13235755,6,5,1,2,c arter,1
legacy,13223921,6,6,0,1,legacy,1
marc,13217593,4,4,0,2,mar c,1
pleased,13215862,7,6,1,2,ple ased,1
danger,13206765,6,6,0,1,danger,1
vitamin,13204687,7,6,1,2,vit amin,1
widely,13197312,6,6,0,2,wid ely,1
processed,13192681,9,7,2,1,processed,0
phrase,13191958,6,6,0,1,phrase,1
genuine,13191602,7,5,2,2,g enuine,0
raising,13190308,7,6,1,1,raising,0
implications,13188157,12,10,2,2,imp lications,0
functionality,13187557,13,10,3,2,function ality,0
paradise,13186910,8,7,1,3,par ad ise,1
hybrid,13174794,6,6,0,2,hy brid,1
reads,13174104,5,5,0,1,reads,1
roles,13171507,5,5,0,1,roles,1
intermediate,13162056,12,8,4,2,inter mediate,0
emotional,13160826,9,8,1,2,em otional,1
sons,13160458,4,3,1,1,sons,1
leaf,13159307,4,4,0,1,leaf,1
pad,13159201,3,3,0,1,pad,1
glory,13158826,5,5,0,2,gl ory,1
platforms,13157939,9,9,0,2,platform s,1
ja,13156568,2,2,0,1,ja,1
bigger,13152228,6,5,1,2,b igger,1
billing,13151677,7,5,2,1,billing,0
diesel,13147963,6,5,1,2,d iesel,1
versus,13147766,6,5,1,2,vers us,1
combine,13139084,7,7,0,1,combine,0
overnight,13137405,9,9,0,2,overn ight,1
geographic,13136286,10,9,1,2,ge ographic,1
exceed,13135673,6,4,2,2,ex ceed,0
bs,13125950,2,2,0,1,bs,1
rod,13124744,3,3,0,1,rod,1
saudi,13123149,5,5,0,2,s audi,1
fault,13112664,5,5,0,1,fault,1
cuba,13111342,4,4,0,2,c uba,1
hrs,13110679,3,3,0,1,hrs,1
preliminary,13106833,11,9,2,3,pre lim inary,0
districts,13106605,9,6,3,2,district s,0
introduce,13104630,9,9,0,2,int roduce,1
silk,13099161,4,4,0,2,s ilk,1
promotional,13084826,11,9,2,2,prom otional,0
kate,13076275,4,4,0,2,k ate,1
chevrolet,13074108,9,8,1,2,che vrolet,1
babies,13070103,6,5,1,2,bab ies,1
bi,13070039,2,2,0,1,bi,1
karen,13067717,5,5,0,2,k aren,1
compiled,13067154,8,8,0,1,compiled,1
romantic,13055842,8,8,0,2,rom antic,0
revealed,13042465,8,6,2,2,reve aled,1
specialists,13041955,11,8,3,2,special ists,0
generator,13041439,9,7,2,1,generator,0
albert,13040324,6,6,0,2,al bert,1
examine,13030604,7,6,1,2,ex amine,1
jimmy,13030009,5,4,1,3,j im my,1
graham,13026222,6,5,1,3,gr ah am,1
suspension,13025162,10,7,3,3,s usp ension,1
bristol,13022446,7,7,0,2,br istol,1
margaret,13021244,8,6,2,3,m arg aret,1
compaq,13015144,6,6,0,2,comp aq,1
sad,13010129,3,3,0,1,sad,1
correction,13009622,10,7,3,2,cor rection,0
wolf,13001992,4,4,0,1,wolf,1
slowly,13000552,6,5,1,2,slow ly,0
authentication,12998105,14,9,5,1,authentication,0
communicate,12992824,11,9,2,2,communic ate,0
rugby,12992179,5,5,0,2,rug by,1
supplement,12988231,10,8,2,2,sup plement,0
showtimes,12978770,9,8,1,2,show times,1
cal,12967326,3,3,0,1,cal,1
portions,12963319,8,7,1,2,port ions,0
infant,12959639,6,5,1,2,inf ant,1
promoting,12956304,9,8,1,2,prom oting,0
sectors,12948547,7,6,1,2,sect ors,0
samuel,12947907,6,6,0,2,sam uel,1
fluid,12943336,5,5,0,1,fluid,1
grounds,12943233,7,7,0,1,grounds,1
fits,12942004,4,4,0,1,fits,1
kick,12941649,4,3,1,1,kick,1
regards,12939920,7,6,1,2,reg ards,1
meal,12937343,4,4,0,1,meal,1
ta,12936942,2,2,0,1,ta,1
hurt,12936269,4,4,0,2,h urt,1
machinery,12936031,9,9,0,2,mach inery,1
bandwidth,12935437,9,8,1,2,band width,0
unlike,12933815,6,6,0,2,un like,1
equation,12933641,8,8,0,2,equ ation,1
baskets,12933398,7,6,1,2,b askets,1
probability,12929028,11,9,2,1,probability,0
pot,12927383,3,3,0,1,pot,1
dimension,12925504,9,7,2,1,dimension,0
wright,12925206,6,6,0,1,wright,1
img,12922908,3,3,0,1,img,1
barry,12921548,5,4,1,2,bar ry,1
proven,12920984,6,6,0,2,pro ven,1
schedules,12917359,9,7,2,2,s chedules,0
admissions,12907686,10,7,3,2,ad missions,0
cached,12887996,6,5,1,1,cached,0
warren,12887808,6,5,1,2,war ren,1
slip,12886015,4,4,0,2,sl ip,1
studied,12881982,7,6,1,2,stud ied,1
reviewer,12879631,8,5,3,2,review er,0
involves,12878082,8,7,1,3,in vol ves,0
quarterly,12876640,9,8,1,2,quarter ly,0
rpm,12872296,3,3,0,1,rpm,1
profits,12872162,7,7,0,1,profits,1
devil,12869511,5,5,0,1,devil,1
grass,12868953,5,4,1,1,grass,1
comply,12868396,6,6,0,2,com ply,1
marie,12862466,5,5,0,2,mar ie,1
florist,12860636,7,7,0,3,fl or ist,1
illustrated,12858193,11,9,2,2,illustr ated,0
cherry,12855670,6,5,1,2,ch erry,1
continental,12854435,11,8,3,1,continental,0
alternate,12846709,9,6,3,1,alternate,0
deutsch,12846263,7,7,0,2,de utsch,1
achievement,12845656,11,9,2,1,achievement,0
limitations,12844407,11,8,3,1,limitations,0
kenya,12839981,5,5,0,2,ken ya,1
webcam,12835042,6,6,0,2,web cam,1
cuts,12832156,4,4,0,1,cuts,0
funeral,12827388,7,7,0,2,fun eral,1
nutten,12826864,6,4,2,2,nut ten,0
earrings,12822060,8,7,1,3,ear r ings,1
enjoyed,12819458,7,6,1,3,en joy ed,0
automated,12816951,9,7,2,2,autom ated,0
chapters,12814410,8,8,0,2,ch apters,0
pee,12811886,3,2,1,1,pee,1
charlie,12810984,7,7,0,2,char lie,1
quebec,12807746,6,5,1,2,que bec,1
nipples,12804977,7,6,1,2,n ipples,1
passenger,12804602,9,7,2,2,pass enger,0
convenient,12801318,10,7,3,2,con venient,0
dennis,12801087,6,5,1,2,d ennis,1
mars,12792948,4,4,0,1,mars,1
francis,12791715,7,7,0,3,fr anc is,1
tvs,12782654,3,3,0,2,t vs,1
sized,12775596,5,5,0,2,s ized,1
manga,12774174,5,4,1,2,m anga,0
noticed,12773325,7,7,0,1,noticed,1
socket,12770550,6,6,0,1,socket,1
silent,12768385,6,6,0,1,silent,1
literary,12767813,8,7,1,2,liter ary,1
egg,12766528,3,2,1,1,egg,1
mhz,12762988,3,3,0,2,m hz,1
signals,12760317,7,6,1,1,signals,0
caps,12758083,4,4,0,1,caps,1
orientation,12750803,11,7,4,1,orientation,0
pill,12749153,4,3,1,1,pill,1
theft,12744763,5,4,1,2,the ft,1
childhood,12740200,9,6,3,2,child hood,0
swing,12734467,5,5,0,1,swing,1
symbols,12733176,7,6,1,1,symbols,0
lat,12732598,3,3,0,1,lat,1
meta,12731331,4,4,0,1,meta,1
humans,12729034,6,6,0,2,hum ans,0
analog,12726931,6,5,1,2,an alog,1
facial,12721452,6,5,1,2,fac ial,1
choosing,12717377,8,7,1,2,cho osing,0
talent,12712170,6,5,1,2,tal ent,1
dated,12707511,5,4,1,1,dated,1
flexibility,12700246,11,8,3,2,flex ibility,0
seeker,12696541,6,4,2,2,seek er,0
wisdom,12696160,6,6,0,2,wis dom,1
shoot,12695618,5,4,1,1,shoot,1
boundary,12695163,8,8,0,1,boundary,1
mint,12694588,4,4,0,1,mint,1
packard,12691717,7,6,1,2,pack ard,1
offset,12689932,6,5,1,1,offset,0
payday,12682146,6,4,2,2,pay day,1
philip,12674163,6,4,2,2,phil ip,0
elite,12673836,5,4,1,1,elite,1
gi,12673643,2,2,0,1,gi,1
spin,12671696,4,4,0,1,spin,1
holders,12665447,7,7,0,1,holders,1
believes,12663723,8,6,2,2,belie ves,1
swedish,12662613,7,6,1,2,sw edish,0
poems,12662561,5,5,0,2,po ems,1
deadline,12662277,8,6,2,1,deadline,0
jurisdiction,12657881,12,10,2,2,jur isdiction,0
robot,12656312,5,4,1,1,robot,1
displaying,12650318,10,9,1,2,display ing,0
witness,12643368,7,6,1,2,w itness,0
collins,12638925,7,6,1,2,coll ins,0
equipped,12635856,8,6,2,2,equ ipped,0
stages,12632816,6,5,1,2,st ages,1
encouraged,12632676,10,9,1,3,enc our aged,1
sur,12632510,3,3,0,1,sur,1
winds,12628386,5,5,0,2,w inds,1
powder,12627415,6,6,0,2,pow der,1
broadway,12620441,8,7,1,3,b road way,0
acquired,12619643,8,8,0,2,ac quired,1
assess,12614289,6,3,3,2,ass ess,0
wash,12612759,4,4,0,1,wash,1
cartridges,12611549,10,9,1,2,car tridges,1
stones,12611462,6,5,1,1,stones,0
entrance,12610212,8,6,2,2,entr ance,1
gnome,12609820,5,5,0,2,gn ome,1
roots,12609370,5,4,1,1,roots,0
declaration,12609210,11,10,1,1,declaration,0
losing,12607223,6,6,0,1,losing,1
attempts,12606763,8,6,2,2,at tempts,0
gadgets,12604953,7,6,1,3,g ad gets,1
noble,12604679,5,5,0,2,n oble,1
glasgow,12596942,7,6,1,2,glas gow,1
automation,12592519,10,7,3,1,automation,0
impacts,12585629,7,7,0,2,imp acts,1
rev,12575365,3,3,0,1,rev,1
gospel,12572666,6,6,0,2,g ospel,1
advantages,12569204,10,8,2,2,adv antages,0
shore,12568485,5,5,0,1,shore,1
loves,12566621,5,5,0,2,lo ves,1
induced,12566340,7,6,1,2,ind uced,0
ll,12564191,2,1,1,1,ll,1
knight,12563918,6,6,0,2,k night,1
preparing,12556793,9,7,2,2,pre paring,0
loose,12556710,5,4,1,2,lo ose,1
aims,12555862,4,4,0,1,aims,1
recipient,12555432,9,7,2,1,recipient,0
linking,12555304,7,5,2,2,link ing,0
extensions,12552534,10,7,3,1,extensions,0
appeals,12550346,7,5,2,2,appe als,1
cl,12549130,2,2,0,1,cl,1
earned,12540187,6,5,1,1,earned,1
illness,12539579,7,5,2,2,ill ness,0
islamic,12539523,7,6,1,2,isl amic,0
athletics,12534433,9,8,1,2,ath letics,1
southeast,12520872,9,7,2,3,s ou theast,0
ieee,12520362,4,2,2,1,ieee,1
ho,12515925,2,2,0,1,ho,1
alternatives,12512859,12,9,3,2,altern atives,0
pending,12509596,7,6,1,1,pending,1
parker,12509468,6,5,1,2,p arker,1
determining,12507793,11,8,3,3,d etermin ing,0
lebanon,12503316,7,6,1,3,le ban on,1
corp,12500878,4,4,0,1,corp,1
personalized,12495791,12,11,1,2,personal ized,0
kennedy,12494982,7,5,2,3,k enn edy,1
gt,12493779,2,2,0,1,gt,1
sh,12493091,2,2,0,1,sh,1
conditioning,12490899,12,7,5,2,condition ing,0
teenage,12488595,7,5,2,2,teen age,0
soap,12485378,4,4,0,1,soap,1
ae,12480269,2,2,0,1,ae,1
triple,12478554,6,6,0,2,tr iple,1
cooper,12476378,6,5,1,2,co oper,1
nyc,12475941,3,3,0,2,n yc,1
vincent,12468392,7,6,1,2,vin cent,1
jam,12468316,3,3,0,1,jam,1
secured,12463155,7,6,1,1,secured,0
unusual,12459909,7,5,2,2,un usual,0
answered,12457330,8,7,1,1,answered,0
partnerships,12453817,12,9,3,2,partners hips,0
destruction,12453758,11,10,1,2,de struction,1
slots,12452126,5,4,1,1,slots,0
increasingly,12442507,12,10,2,3,incre asing ly,0
migration,12442426,9,8,1,1,migration,1
disorder,12437958,8,6,2,2,dis order,1
routine,12437176,7,7,0,1,routine,1
toolbar,12436439,7,6,1,1,toolbar,0
basically,12428283,9,7,2,2,bas ically,0
rocks,12427428,5,5,0,2,ro cks,1
conventional,12426348,12,9,3,2,con ventional,0
titans,12408915,6,5,1,2,tit ans,0
applicants,12408250,10,8,2,2,app licants,1
wearing,12401524,7,7,0,2,w earing,1
axis,12399723,4,4,0,1,axis,1
sought,12398749,6,6,0,2,s ought,1
genes,12396954,5,4,1,1,genes,1
mounted,12391977,7,7,0,1,mounted,1
habitat,12388574,7,5,2,2,hab itat,0
firewall,12387228,8,7,1,2,fire wall,0
median,12384523,6,6,0,1,median,1
guns,12383666,4,4,0,1,guns,1
scanner,12375659,7,6,1,1,scanner,1
herein,12372347,6,5,1,2,here in,0
occupational,12368358,12,9,3,2,occup ational,0
animated,12365108,8,7,1,1,animated,0
horny,12363955,5,5,0,2,horn y,1
judicial,12363943,8,7,1,2,jud icial,1
rio,12362288,3,3,0,1,rio,1
hs,12344206,2,2,0,1,hs,1
adjustment,12343670,10,9,1,2,adjust ment,0
hero,12343606,4,4,0,1,hero,1
integer,12343092,7,6,1,1,integer,0
treatments,12341268,10,7,3,3,t reat ments,0
bachelor,12335355,8,8,0,2,b achelor,1
attitude,12331010,8,6,2,2,att itude,0
camcorders,12327884,10,8,2,3,cam c orders,1
engaged,12325194,7,5,2,2,eng aged,0
falling,12324340,7,6,1,2,fall ing,1
basics,12316733,6,5,1,2,bas ics,1
montreal,12310310,8,8,0,2,mont real,1
carpet,12309442,6,6,0,2,car pet,1
rv,12295996,2,2,0,1,rv,1
struct,12292326,6,5,1,1,struct,0
lenses,12288564,6,4,2,2,l enses,0
binary,12286978,6,6,0,1,binary,0
