Word,Frequency,Letters_Number,Unique_Letters_number,Difference,GPT4o-mini_IFCorrect,Tokens_Number,Tokens
shaftoe,21280,7,7,0,1,2,shaft oe
sweatpant,23512,9,7,2,0,4,s we at pant
warka,32084,5,4,1,1,2,w arka
mobzy,89373,5,5,0,1,2,mob zy
impugn,49180,6,6,0,1,2,imp ugn
loneliest,74027,9,7,2,0,3,lon eli est
pamporovo,303219,9,6,3,0,4,p amp or ovo
smilies,6093367,7,5,2,0,3,sm il ies
lookups,1097265,7,6,1,0,2,look ups
zoltan,304498,6,6,0,1,3,z olt an
amplahd,27310,7,6,1,1,4,am pl ah d
skillsoft,94464,9,7,2,0,2,skill soft
wwwvideos,25794,9,7,2,1,2,www videos
oisans,18263,6,5,1,1,2,ois ans
rehearsal,2092470,9,6,3,0,4,re he ars al
lewisville,718353,10,6,4,0,3,le wis ville
autauga,71450,7,4,3,0,2,aut auga
tiuc,18977,4,4,0,1,2,ti uc
diagonals,180217,9,8,1,0,3,di agon als
ufa,247420,3,3,0,1,1,ufa
biante,28381,6,6,0,1,2,b iante
greenfield,2209164,10,8,2,0,2,green field
tortuga,269193,7,6,1,0,3,t ort uga
waar,200862,4,3,1,0,1,waar
dotnetbb,67913,8,6,2,0,3,dot net bb
crystalbrite,47052,12,10,2,1,3,cr ystal brite
gunung,75491,6,3,3,1,2,gun ung
dephosphorylation,95161,17,13,4,0,5,de ph osph ory lation
dispensation,382600,12,9,3,0,2,disp ensation
fguillaume,15852,10,8,2,0,3,f gu illaume
trenet,21774,6,4,2,0,2,tr enet
wsdl,1524985,4,4,0,1,2,ws dl
notel,23497,5,5,0,1,2,not el
harghita,12922,8,6,2,0,3,har gh ita
golfable,23133,8,7,1,0,3,g olf able
connecters,16168,10,7,3,0,2,connect ers
stargunner,17424,10,8,2,1,3,st arg unner
purkinje,133806,8,8,0,1,3,pur kin je
hnb,38735,3,3,0,1,2,h nb
fuzion,123297,6,6,0,1,3,f uz ion
webstarter,36536,10,7,3,0,2,web starter
novia,230196,5,5,0,1,2,nov ia
kooba,60251,5,4,1,1,2,ko oba
wwrite,278898,6,5,1,1,2,ww rite
metallography,33482,13,11,2,0,3,met all ography
dojos,34797,5,4,1,1,2,do jos
alburg,41210,6,6,0,1,2,al burg
escorted,1217210,8,7,1,0,2,esc orted
homoeroticism,16799,13,9,4,0,5,h omo er otic ism
soab,155310,4,4,0,1,2,so ab
santoprene,30733,10,8,2,0,4,s ant op rene
pertamina,36502,9,8,1,0,2,pert amina
necron,29515,6,5,1,1,2,ne cron
ohrc,18429,4,4,0,1,3,o hr c
drachma,79393,7,6,1,1,3,d rach ma
flexable,43419,8,6,2,0,2,flex able
geekbuddies,134315,11,8,3,0,5,ge ek b udd ies
lfc,283716,3,3,0,1,2,lf c
remorse,639738,7,5,2,0,2,rem orse
gra,739610,3,3,0,1,1,gra
unsprayed,14588,9,9,0,1,3,uns pr ayed
familynet,28740,9,9,0,1,2,famil ynet
infobox,125923,7,6,1,0,2,inf obox
orvs,16634,4,4,0,1,2,or vs
ringyones,15844,9,8,1,1,3,ring y ones
cm,34312385,2,2,0,1,1,cm
qtis,24800,4,4,0,1,1,qtis
neuro,1337649,5,5,0,1,2,ne uro
skoool,17004,6,4,2,0,2,sko ool
elion,39385,5,5,0,1,2,el ion
planada,21372,7,5,2,1,2,plan ada
altosanta,70606,9,6,3,1,3,alt os anta
arcor,67661,5,4,1,1,2,ar cor
pentaerythritol,23925,15,11,4,0,6,p enta ery th rit ol
shroomery,32812,9,7,2,0,3,sh room ery
ovalbumin,85665,9,9,0,0,3,oval bum in
neurone,86725,7,5,2,1,2,neur one
durasec,14500,7,7,0,1,3,dur ase c
cyto,153426,4,4,0,1,2,cy to
remec,20797,5,4,1,1,2,rem ec
efnep,34940,5,4,1,1,3,ef ne p
bhaskaran,19917,9,7,2,1,3,bh ask aran
wwwegreetings,30988,13,8,5,0,3,ww weg reetings
dettman,15407,7,6,1,0,3,d ett man
thayer,810101,6,6,0,1,2,th ayer
pojutrze,17705,8,8,0,1,4,po jut r ze
sdsu,551058,4,3,1,1,3,s ds u
lammer,26145,6,5,1,1,2,lam mer
bandiera,29912,8,7,1,1,2,band iera
notundelend,52087,11,7,4,0,3,not und elend
willsboro,24608,9,7,2,0,3,w ills boro
bake,3785783,4,4,0,1,2,b ake
tablemodel,18577,10,8,2,0,2,table model
speeding,1964427,8,7,1,0,2,speed ing
raul,1235638,4,4,0,1,1,raul
kuwahara,28715,8,6,2,0,3,ku wah ara
mikki,128037,5,3,2,1,2,m ikki
kittywalk,18354,9,7,2,0,2,kitty walk
shigematsu,15353,10,9,1,1,3,sh igem atsu
sdio,442162,4,4,0,1,2,sd io
andis,147920,5,5,0,1,2,and is
petherick,27567,9,8,1,0,3,pet her ick
ifornia,30706,7,6,1,0,1,ifornia
truisms,53204,7,6,1,0,3,tr uis ms
leipziger,38594,9,7,2,0,3,le ip ziger
directx,1680454,7,7,0,1,2,direct x
plottele,91527,8,5,3,0,2,plot tele
macbook,846342,7,6,1,0,2,mac book
ladyofdragons,23944,13,10,3,0,4,lady of drag ons
conicto,13965,7,5,2,0,2,con icto
treff,218822,5,4,1,1,2,tre ff
sugestion,25448,9,8,1,0,3,s ug estion
sydamerika,14487,10,9,1,0,3,s yd amerika
affortable,15765,10,8,2,1,3,aff ort able
wizened,46239,7,6,1,1,2,wiz ened
margi,155938,5,5,0,1,2,m argi
gyal,34402,4,4,0,1,2,gy al
backboards,77288,10,8,2,0,2,back boards
colluvial,17104,9,7,2,0,2,coll uvial
lri,98336,3,3,0,1,2,l ri
wsop,1733066,4,4,0,1,2,ws op
silt,1056975,4,4,0,1,2,s ilt
parades,678980,7,6,1,1,2,par ades
spang,41109,5,5,0,1,2,sp ang
vertel,36067,6,5,1,0,2,vert el
rxd,128387,3,3,0,1,2,r xd
birdlike,19446,8,7,1,0,2,bird like
adresse,710799,7,5,2,0,1,adresse
bankrolled,43265,10,9,1,0,2,bank rolled
sunetra,33542,7,7,0,1,2,sun etra
protectionism,270984,13,10,3,0,3,pro tection ism
withington,137240,10,7,3,0,2,with ington
coffey,740006,6,5,1,1,3,co ff ey
bangpakong,16184,10,7,3,0,3,bang pak ong
vmworld,18845,7,7,0,1,2,vm world
bromhead,15237,8,8,0,1,3,b rom head
heaved,154596,6,5,1,1,2,he aved
ssdasdas,677378,8,3,5,1,3,ss das das
algoa,36969,5,4,1,0,2,algo a
jtrade,60017,6,6,0,1,2,j trade
quello,145695,6,5,1,1,2,qu ello
prefilter,63462,9,7,2,0,2,pref ilter
arnau,22789,5,4,1,1,2,arn au
gethostbyname,135192,13,11,2,0,4,get host by name
arabische,36026,9,8,1,1,2,arab ische
wwwbudget,31002,9,7,2,1,2,www budget
rigali,16822,6,5,1,1,2,rig ali
fluent,1530869,6,6,0,1,2,fl uent
employmet,15293,9,7,2,0,3,em ploy met
tellier,66358,7,5,2,0,2,tell ier
reeking,63362,7,6,1,0,2,re eking
kroatia,16622,7,6,1,1,3,k ro atia
doppleganger,27473,12,9,3,0,4,dop ple g anger
esrc,327504,4,4,0,1,2,es rc
ciapug,15348,6,6,0,1,3,ci ap ug
jaton,148895,5,5,0,1,2,j aton
classed,534847,7,6,1,0,2,class ed
pueda,70483,5,5,0,0,2,pu eda
danton,83174,6,5,1,1,2,d anton
nwdnb,33612,5,4,1,1,3,n wd nb
glb,196859,3,3,0,1,2,gl b
najarian,30328,8,5,3,1,2,naj arian
multitap,61847,8,7,1,0,3,mult it ap
hdhp,45413,4,3,1,1,2,hd hp
grupo,1148201,5,5,0,1,1,grupo
denitions,23955,9,7,2,0,2,den itions
vanzetti,57457,8,7,1,1,3,v anz etti
taketype,27206,8,6,2,0,2,tak etype
bowdler,26937,7,7,0,1,3,bow d ler
veon,14294,4,4,0,1,2,ve on
villiage,45230,8,6,2,1,3,v illi age
climates,912060,8,8,0,1,2,cl imates
coduri,16198,6,6,0,1,2,cod uri
ibasic,15538,6,5,1,0,2,ib asic
junkey,19219,6,6,0,1,2,jun key
hypocrit,13302,8,8,0,1,3,hyp oc rit
exchange,77079447,8,7,1,1,1,exchange
choon,114436,5,4,1,1,2,cho on
plaudits,80629,8,8,0,1,3,pla ud its
millersburg,176810,11,9,2,0,3,mill ers burg
giggel,12854,6,4,2,0,2,gig gel
rumbled,104704,7,7,0,1,2,r umbled
emulsify,21474,8,8,0,1,3,em uls ify
blogmark,51080,8,8,0,1,2,blog mark
neuroshell,13522,10,8,2,0,3,ne uros hell
ropesville,15178,10,8,2,0,3,rop es ville
phylprom,15403,8,7,1,1,3,ph yl prom
adornment,185836,9,8,1,0,2,ad ornment
cohen,6665722,5,5,0,1,2,co hen
surahs,22750,6,5,1,1,2,sur ahs
vestigation,21296,11,9,2,0,2,vest igation
everywhere,11153149,10,6,4,0,2,every where
jmeter,101859,6,5,1,0,2,j meter
ultradonkeycom,31005,14,13,1,0,5,ul trad on key com
langland,50010,8,5,3,1,2,lang land
fym,29325,3,3,0,1,2,f ym
libsilc,12896,7,5,2,0,3,lib sil c
slidecast,21728,9,8,1,1,2,slide cast
likelihoods,66352,11,8,3,0,3,lik elihood s
geekgeneral,14705,11,7,4,0,3,ge ek general
dau,2233093,3,3,0,1,2,d au
duluth,2522476,6,5,1,0,2,dul uth
advies,93511,6,6,0,1,1,advies
lisy,14191,4,4,0,1,2,l isy
opinie,24396,6,5,1,0,2,opin ie
policeone,32267,9,7,2,0,3,pol ice one
lpx,36018,3,3,0,1,2,l px
broadstreet,12860,11,8,3,0,3,b road street
inport,32380,6,6,0,1,2,in port
smouldering,80371,11,11,0,1,3,sm ould ering
urope,21754,5,5,0,1,1,urope
nedlinux,16364,8,7,1,1,2,ned linux
covenants,1223140,9,8,1,1,3,c oven ants
diminuer,67175,8,7,1,0,3,d imin uer
pjh,22575,3,3,0,1,2,pj h
nudi,84743,4,4,0,1,2,n udi
forebear,20677,8,6,2,0,2,fore bear
imbrie,15812,6,5,1,0,3,im br ie
itsm,113075,4,4,0,1,2,its m
elly,286082,4,3,1,1,1,elly
jentina,16862,7,6,1,1,2,j entina
rpp,230593,3,2,1,0,2,r pp
brazenly,81353,8,8,0,1,3,bra zen ly
aumc,12808,4,4,0,1,2,aum c
peals,78085,5,5,0,1,2,pe als
nikki,4609573,5,3,2,1,2,nik ki
llanfair,46416,8,6,2,0,3,ll anf air
waymouth,17966,8,8,0,1,2,way mouth
ilies,25843,5,4,1,0,2,il ies
synar,18484,5,5,0,1,2,syn ar
precip,1239111,6,5,1,1,2,prec ip
nnd,68027,3,2,1,1,2,n nd
simpset,12830,7,6,1,1,3,sim ps et
innate,1052902,6,5,1,1,2,inn ate
ollowing,13584,8,6,2,0,2,ollow ing
caseback,84129,8,6,2,0,2,case back
sholapur,17957,8,8,0,1,3,sh ol apur
eminimall,13010,9,6,3,0,3,emin im all
diogu,26762,5,5,0,1,2,di ogu
intenet,82693,7,4,3,0,2,int enet
endimage,13443,8,7,1,0,2,end image
prc,2034927,3,3,0,1,2,pr c
neca,289572,4,4,0,1,2,ne ca
booneville,175100,10,7,3,0,3,bo one ville
interferes,660376,10,7,3,1,3,inter fer es
yaara,15872,5,3,2,0,2,ya ara
ljs,46258,3,3,0,1,2,l js
gaffers,32726,7,6,1,1,2,ga ffers
pooran,12777,6,5,1,0,2,po oran
dmjm,20484,4,3,1,1,2,dm jm
bjp,846279,3,3,0,1,2,b jp
skaggs,299950,6,4,2,1,3,sk ag gs
nyonya,21469,6,4,2,1,2,ny onya
fmes,13165,4,4,0,1,2,f mes
stusta,17230,6,4,2,0,2,st usta
rockall,88348,7,6,1,1,2,rock all
wwwyahoogamescom,35946,16,10,6,0,6,www y aho og ames com
albumen,125810,7,7,0,1,2,album en
motherf,51464,7,7,0,1,2,mother f
flamboyance,27856,11,10,1,1,4,fl amb oy ance
ccos,23184,4,3,1,1,2,cc os
tribolium,20466,9,8,1,0,3,trib ol ium
punchline,223263,9,8,1,1,3,p unch line
calndar,12935,7,6,1,1,2,cal ndar
kummerfeld,14319,10,8,2,0,3,k ummer feld
cuantos,31913,7,7,0,1,2,cu antos
nimo,59557,4,4,0,1,1,nimo
epilobium,49608,9,8,1,0,4,ep il ob ium
reuniting,144124,9,7,2,1,3,re unit ing
desiderata,87224,10,7,3,0,3,des ider ata
exaggeratedly,14105,13,9,4,0,4,ex agger ated ly
tantra,759417,6,4,2,1,2,tan tra
burninghelix,20018,12,10,2,0,4,burn ing hel ix
easa,72536,4,3,1,1,2,e asa
biocides,161179,8,7,1,0,3,bi oc ides
esurance,80866,8,7,1,0,2,es urance
bucke,16185,5,5,0,1,2,buck e
hermansen,39794,9,7,2,0,3,her mans en
practicing,4367159,10,8,2,0,3,pr act icing
loliha,27307,6,5,1,1,3,l oli ha
heidemann,49056,9,7,2,0,2,heid emann
tollett,18785,7,4,3,0,3,t olle tt
wako,86402,4,4,0,1,2,w ako
succinogenes,20915,12,8,4,0,4,su ccin ogen es
vetta,66280,5,4,1,0,2,vet ta
ured,56622,4,4,0,1,1,ured
hempfield,57635,9,8,1,0,3,he mp field
reichel,122141,7,6,1,0,2,re ichel
ode,1644895,3,3,0,1,1,ode
eurekalert,127957,10,7,3,0,4,e ure k alert
gbv,100167,3,3,0,1,2,gb v
tablebreak,44177,10,7,3,0,2,table break
moye,80079,4,4,0,1,2,m oye
mote,396065,4,4,0,1,2,m ote
voltaic,68943,7,7,0,1,3,vol ta ic
backslash,452294,9,7,2,0,2,back slash
causley,18359,7,7,0,1,3,ca us ley
friedlander,247946,11,8,3,0,2,fried lander
sugarbush,118140,9,7,2,0,4,s ugar b ush
porkpie,21797,7,6,1,1,3,p ork pie
cnpq,50675,4,4,0,1,2,cn pq
irishtown,26719,9,8,1,0,3,iris ht own
auberjonois,39456,11,10,1,0,5,a uber j ono is
kunt,178780,4,4,0,1,2,k unt
arglist,111532,7,7,0,1,2,arg list
wfc,366155,3,3,0,1,2,w fc
cappuccinos,37553,11,8,3,0,4,c app ucc inos
occidentale,72938,11,9,2,0,3,occ ident ale
filehungry,91921,10,10,0,1,3,file hun gry
birte,20993,5,5,0,1,2,bir te
reinstall,1096678,9,8,1,0,2,re install
fujiwara,222032,8,7,1,1,3,fu ji wara
hinstant,24612,8,6,2,1,2,h instant
electrodes,1606426,10,8,2,0,3,elect ro des
reconvenes,38513,10,7,3,0,3,re con venes
accelerant,17069,10,7,3,0,2,acceler ant
unerringly,34747,10,8,2,1,3,un err ingly
asyst,37031,5,4,1,1,2,as yst
nlp,1135827,3,3,0,1,2,nl p
flg,221943,3,3,0,1,2,fl g
mvs,600634,3,3,0,1,2,m vs
thakor,18109,6,6,0,1,2,th akor
atively,36007,7,7,0,1,1,atively
epinions,21682171,8,6,2,0,3,ep in ions
incriminate,81224,11,8,3,0,3,in cr iminate
quatuor,50813,7,6,1,1,3,qu atu or
glycosidase,32473,11,10,1,1,4,gly cos id ase
dislodged,147631,9,7,2,0,3,dis lod ged
cdtool,50286,6,5,1,0,2,cd tool
sarani,13435,6,5,1,1,2,sar ani
bodoni,1302983,6,5,1,0,2,bod oni
workplan,278242,8,8,0,1,2,work plan
hagstrom,79076,8,8,0,1,2,hag strom
sportbets,32850,9,7,2,0,2,sport bets
sotuhwest,27359,9,7,2,0,4,s ot uh west
aag,470887,3,2,1,1,2,a ag
britten,425318,7,6,1,0,2,b ritten
bokmal,33642,6,6,0,1,2,bok mal
lorida,65187,6,6,0,1,2,lor ida
oesterle,24559,8,6,2,0,3,o ester le
bascially,29185,9,7,2,0,3,b asc ially
sofware,213100,7,7,0,1,2,sof ware
eced,37764,4,3,1,1,2,ec ed
harebrained,16770,11,8,3,0,3,hare br ained
wkrn,29979,4,4,0,1,3,w kr n
myproject,29453,9,9,0,1,2,my project
punchies,19404,8,8,0,1,3,p unch ies
howardjohnsons,97160,14,9,5,0,4,how ard john sons
gbc,880469,3,3,0,1,2,gb c
handleset,23419,9,8,1,0,2,handles et
chernogolovka,13375,13,11,2,0,5,chern og ol ov ka
riet,55664,4,4,0,1,1,riet
tumefaciens,111989,11,10,1,0,4,tum ef aci ens
mcilwaine,18736,9,8,1,0,4,m cil wa ine
kristiansund,32892,12,9,3,0,4,k rist ians und
domanski,22076,8,8,0,1,2,dom anski
nutritive,220870,9,7,2,0,3,nut rit ive
gratuitos,500222,9,8,1,0,2,grat uitos
citgo,241486,5,5,0,1,2,cit go
mkdep,39614,5,5,0,1,2,mk dep
pxt,22111,3,3,0,1,2,p xt
naemt,14905,5,5,0,1,2,na emt
pardoe,29092,6,6,0,1,2,pard oe
kove,36973,4,4,0,1,2,k ove
gydag,60827,5,4,1,1,3,g yd ag
comorbidity,186843,11,9,2,0,3,com orb idity
simkin,77748,6,5,1,0,2,sim kin
larr,18299,4,3,1,0,2,l arr
unsc,139789,4,4,0,1,2,un sc
tsena,23269,5,5,0,1,2,ts ena
chinadotcom,16253,11,9,2,0,4,chin ad ot com
signiture,39805,9,8,1,0,2,sign iture
remeasurement,14494,13,8,5,0,3,reme asure ment
cjm,63425,3,3,0,1,2,c jm
consitution,37582,11,7,4,0,3,cons it ution
blueshirts,20970,10,9,1,1,4,bl ues h irts
blognaver,12751,9,9,0,1,3,bl ogn aver
yalemds,12939,7,7,0,1,3,yal em ds
bogeys,105351,6,6,0,1,2,bog eys
vishny,48475,6,6,0,1,3,v ish ny
keyphrases,59308,10,8,2,0,3,key phr ases
sofija,26496,6,6,0,1,2,sof ija
taborama,33105,8,6,2,1,3,t abor ama
objection,3725086,9,8,1,0,2,ob jection
grandeur,797270,8,7,1,1,3,gr ande ur
khp,29266,3,3,0,1,2,kh p
browsermatch,14836,12,11,1,1,2,browser match
gotooa,12804,6,4,2,0,2,goto oa
procedimientos,28653,14,11,3,0,2,proced imientos
converting,4991724,10,9,1,0,2,con verting
thimpu,16785,6,6,0,1,3,th im pu
ington,106696,6,5,1,1,1,ington
sengir,12815,6,6,0,1,3,s eng ir
tearfund,55754,8,8,0,0,3,te arf und
methylparaben,61277,13,11,2,0,4,m ethyl par aben
manchette,15025,9,7,2,0,3,man che tte
vasilis,42692,7,5,2,0,2,vas ilis
ieti,24508,4,3,1,0,2,iet i
weinmaster,19718,10,9,1,0,2,wein master
fabrcop,90062,7,7,0,1,3,fab rc op
monaca,65947,6,5,1,0,2,mon aca
rishis,36339,6,4,2,0,3,r ish is
beskikbaar,13234,10,7,3,0,3,bes k ikbaar
professionalservice,12796,19,12,7,0,2,professional service
glrc,19862,4,4,0,1,2,gl rc
redcrest,21225,8,6,2,0,2,red crest
blandine,18029,8,7,1,1,3,bl and ine
deferments,71636,10,8,2,0,3,de fer ments
chatting,2016434,8,7,1,1,2,chat ting
audry,26350,5,5,0,1,2,aud ry
broderbund,288942,10,7,3,0,3,bro der bund
arja,19053,4,3,1,1,1,arja
lampes,36746,6,6,0,1,2,lamp es
primaries,548226,9,7,2,0,2,prim aries
riri,17622,4,2,2,1,2,r iri
pikes,448113,5,5,0,1,2,p ikes
vespertine,27284,10,8,2,0,3,ves pert ine
depositor,340667,9,8,1,1,2,de positor
dunnavant,23781,9,6,3,0,3,d unn avant
smaj,12862,4,4,0,1,2,s maj
basks,33223,5,4,1,1,2,b asks
percnt,37662,6,6,0,1,2,per cnt
eachother,518397,9,7,2,0,2,each other
homeopath,85052,9,7,2,0,2,home opath
freenode,111549,8,6,2,0,3,f reen ode
kidbrooke,18645,9,7,2,0,3,kid bro oke
onal,121338,4,4,0,1,1,onal
audiobusiness,16814,13,9,4,0,4,a udi ob usiness
nikh,30908,4,4,0,1,2,nik h
incli,14300,5,4,1,0,2,in cli
warpage,32703,7,6,1,1,2,war page
ipart,30290,5,5,0,1,2,ip art
csfa,15062,4,4,0,0,2,cs fa
telecommute,156973,11,7,4,0,3,tele comm ute
featurette,476772,10,6,4,0,2,feature tte
epling,15427,6,6,0,1,2,e pling
humberto,229835,8,8,0,1,3,h umber to
intelihealth,117263,12,7,5,0,3,int eli health
reclame,189748,7,6,1,1,3,re cl ame
hdpe,528782,4,4,0,1,2,hd pe
sensuale,16021,8,6,2,1,2,sens uale
pongolle,12733,8,6,2,0,2,pong olle
isapnptools,14168,11,8,3,0,5,is ap n pt ools
gaudidb,19826,7,6,1,1,4,ga ud id b
attire,1517340,6,5,1,1,2,att ire
notley,52169,6,6,0,1,2,not ley
securityflash,17833,13,12,1,1,2,security flash
epco,22950,4,4,0,1,2,ep co
dolans,12967,6,6,0,1,2,dol ans
subdivider,111024,10,8,2,0,2,sub divider
nettwerk,141496,8,6,2,0,2,nett werk
changin,175720,7,6,1,1,2,chang in
megacolon,28460,9,8,1,1,3,meg acol on
xgalaga,14974,7,4,3,1,3,x gal aga
donoghue,220689,8,7,1,1,3,don ogh ue
multiplexer,610315,11,9,2,0,2,multip lexer
windconnect,14484,11,8,3,0,2,wind connect
badong,22581,6,6,0,1,2,bad ong
norderstedt,20136,11,7,4,0,3,n order stedt
colliding,292211,9,7,2,0,2,coll iding
waterthrush,39038,11,8,3,0,3,water th rush
reyes,1676657,5,4,1,0,2,re yes
dharna,26165,6,5,1,1,3,d har na
lordstown,16370,9,8,1,0,2,lord stown
greengreenstar,27271,14,7,7,0,4,gre eng reen star
ostan,31238,5,5,0,1,2,ost an
mojournal,14108,9,8,1,0,2,mo journal
caffeic,16595,7,5,2,1,3,c affe ic
xla,69737,3,3,0,1,2,x la
mjc,97558,3,3,0,1,2,m jc
commanded,2008832,9,7,2,0,2,command ed
wavepower,28453,9,7,2,0,2,wave power
schoenbrunn,23870,11,9,2,0,5,s cho en br unn
ipin,16369,4,3,1,0,2,ip in
vulne,12745,5,5,0,1,3,v ul ne
alper,141267,5,5,0,1,2,al per
tzd,20583,3,3,0,1,2,t zd
matyas,44093,6,5,1,1,2,mat yas
melvin,1672835,6,6,0,1,2,mel vin
togged,24561,6,5,1,1,2,tog ged
cumene,30766,6,5,1,0,2,cum ene
interex,31840,7,6,1,0,2,inter ex
hemophilia,365887,10,8,2,0,3,hem oph ilia
grgx,18414,4,3,1,1,2,gr gx
userbase,41436,8,6,2,0,2,user base
forsaking,91990,9,9,0,1,2,fors aking
chessgames,25280,10,7,3,0,3,ch ess games
dickert,16579,7,7,0,1,3,d ick ert
koor,17918,4,3,1,1,2,ko or
gimptalk,14996,8,8,0,1,4,g im pt alk
kennen,82033,6,3,3,0,1,kennen
tuam,153397,4,4,0,1,2,tu am
cccs,162660,4,2,2,1,2,cc cs
ucieczka,18822,8,7,1,0,4,uc ie cz ka
sojourners,260117,10,7,3,0,3,so journ ers
inheritence,33351,11,7,4,0,2,inherit ence
elia,359408,4,4,0,0,1,elia
pharma,2779510,6,5,1,1,2,ph arma
westview,425504,8,6,2,0,2,west view
stitches,1414175,8,6,2,0,2,st itches
shrivenham,36468,10,9,1,1,3,shr iven ham
morphy,506800,6,6,0,1,3,m orph y
rod,13124744,3,3,0,1,1,rod
recreational,9183129,12,9,3,0,3,re cre ational
xcr,247277,3,3,0,1,2,x cr
shortz,47651,6,6,0,1,2,short z
vengence,74327,8,5,3,0,3,v eng ence
nuby,61327,4,4,0,1,2,n uby
offprints,53507,9,8,1,1,2,off prints
eyota,20632,5,5,0,1,2,ey ota
allocates,585248,9,7,2,0,2,alloc ates
bureaucrat,257674,10,7,3,0,3,bureau cr at
accomidate,15640,10,8,2,1,4,ac com id ate
barleans,18654,8,7,1,1,2,bar leans
beruf,34177,5,5,0,1,2,ber uf
comark,16386,6,6,0,1,2,com ark
tuted,22752,5,4,1,1,2,t uted
tawton,22404,6,5,1,1,3,t aw ton
hyperdave,56470,9,8,1,0,3,hyper d ave
aung,446058,4,4,0,1,2,a ung
rotators,95564,8,5,3,0,2,rot ators
giants,6724177,6,6,0,1,2,gi ants
hoctel,19885,6,6,0,1,3,ho ct el
trejkaz,22249,7,7,0,1,3,tre j kaz
nagant,44730,6,4,2,0,2,nag ant
modperl,120154,7,7,0,1,2,mod perl
escs,44979,4,3,1,1,2,esc s
foreston,19508,8,7,1,1,2,fore ston
widefield,45800,9,6,3,0,2,wide field
washin,55047,6,6,0,1,2,wash in
cokayne,21743,7,7,0,1,3,c okay ne
actualmente,76590,11,8,3,0,2,actual mente
karta,96769,5,4,1,1,2,k arta
prostrations,19004,12,8,4,0,3,pro str ations
remes,14180,5,4,1,1,2,rem es
gentlemens,89231,10,7,3,0,3,gent lem ens
burbage,59796,7,6,1,1,3,b urb age
buzzmachine,206939,11,10,1,0,2,buzz machine
ctd,673762,3,3,0,1,2,ct d
tarceva,48649,7,6,1,1,3,tar ce va
mrpii,18219,5,4,1,1,3,mr pi i
threadfin,29898,9,9,0,0,2,thread fin
altavesta,43720,9,6,3,0,3,alt av esta
sumtimes,21899,8,6,2,0,2,sum times
archname,151465,8,7,1,0,2,arch name
pnt,896934,3,3,0,1,2,p nt
sainik,14479,6,5,1,0,3,s ain ik
jagermeister,57773,12,9,3,0,3,j ager meister
frenchtown,110549,10,9,1,1,4,f ren cht own
mbm,243256,3,2,1,1,2,mb m
vosa,23033,4,4,0,0,2,v osa
reine,267244,5,4,1,1,2,re ine
tortellini,177169,10,7,3,1,4,t ort ell ini
xanthan,105595,7,5,2,1,3,x an than
kortright,38401,9,7,2,0,3,kor tr ight
trojans,1922895,7,7,0,1,2,tro jans
wwwbestwestern,30993,14,7,7,0,3,www best western
nonmalignant,26770,12,8,4,0,3,non mal ignant
zooba,65998,5,4,1,0,2,zo oba
wonderful,28796607,9,9,0,1,2,wonder ful
metavante,56640,9,6,3,0,3,met av ante
kreek,14822,5,3,2,1,2,kre ek
strawbridge,51100,11,10,1,1,3,st raw bridge
blocher,29104,7,7,0,1,2,blo cher
narsto,16623,6,6,0,1,2,nar sto
acrylonitrile,147742,13,10,3,0,5,ac ry lon itr ile
americansingles,23569,15,10,5,0,3,amer icans ingles
mtype,32098,5,5,0,1,2,m type
isconsin,27985,8,5,3,0,2,is consin
raybould,26904,8,8,0,1,3,ray b ould
thermo,1212207,6,6,0,1,2,ther mo
outed,156963,5,5,0,1,1,outed
noondesertsky,15312,13,9,4,0,4,no ondes ert sky
fstrjurisdiction,21799,16,11,5,0,4,f str jur isdiction
kimberlee,51576,9,7,2,0,3,kim ber lee
jorie,42129,5,5,0,1,2,jor ie
antimicrob,254939,10,9,1,0,4,ant im icro b
medalion,15456,8,8,0,1,2,med alion
vertbaudet,34275,10,8,2,0,3,vert ba udet
fiser,21127,5,5,0,1,2,f iser
overend,23491,7,6,1,1,2,over end
krdc,15734,4,4,0,1,2,kr dc
scaleo,24242,6,6,0,1,2,scale o
stearate,290010,8,5,3,1,3,st ear ate
alfonsi,17388,7,7,0,1,3,alf ons i
carmax,160218,6,5,1,0,2,car max
nakedly,32186,7,7,0,1,3,n aked ly
apachecon,47154,9,7,2,0,2,apache con
halstad,22608,7,6,1,0,2,hal stad
harborough,239672,10,7,3,0,2,har borough
tuban,85536,5,5,0,1,2,t uban
toxic,9065369,5,5,0,1,2,to xic
pab,1386417,3,3,0,1,2,p ab
glazing,1617235,7,6,1,1,2,gl azing
marmitek,17404,8,7,1,1,3,m arm itek
saigal,21215,6,5,1,1,2,sa igal
wyahoo,80099,6,5,1,0,2,wy ahoo
ccrf,22871,4,3,1,1,2,cc rf
lekebusch,58190,9,8,1,0,3,lek eb usch
ergs,68411,4,4,0,1,2,erg s
lcar,18735,4,4,0,1,2,l car
dery,33515,4,4,0,1,2,der y
expeditiously,342784,13,11,2,0,3,exp edit iously
leukoplakia,50033,11,8,3,0,5,le uk op lak ia
fiore,443970,5,5,0,1,2,fi ore
goldthwait,31729,10,9,1,0,3,gold th wait
montery,13693,7,7,0,1,2,mon tery
roncalli,38822,8,7,1,0,3,ron call i
almac,20585,5,4,1,1,2,alm ac
