Word,Frequency,Letters_Number,Unique_Letters_number,Difference,Tokens_Number,Tokens_gpt4o-mini,GPT4o-mini_IFCorrect,GPT4o_IFCorrect,LlaMa3.1-8B_IFCorrect,Gemma2-9B_IFCorrect,Mixtral-7B_IFCorrect
nakedly,32186,7,7,0,3,n aked ly,1,1,1,1,0
apachecon,47154,9,7,2,2,apache con,0,1,0,0,0
halstad,22608,7,6,1,2,hal stad,0,1,0,1,0
harborough,239672,10,7,3,2,har borough,0,1,0,0,0
tuban,85536,5,5,0,3,t ub an,1,1,1,1,1
toxic,9065369,5,5,0,2,to xic,1,1,1,1,0
pab,1386417,3,3,0,2,p ab,1,1,1,1,1
glazing,1617235,7,6,1,2,gl azing,1,1,0,0,0
marmitek,17404,8,7,1,4,m arm ite k,1,1,0,0,0
saigal,21215,6,5,1,3,sa ig al,1,1,1,1,1
wyahoo,80099,6,5,1,2,wy ahoo,0,1,1,0,0
ccrf,22871,4,3,1,2,cc rf,1,1,0,0,0
lekebusch,58190,9,8,1,4,le ke bus ch,0,1,0,1,1
ergs,68411,4,4,0,2,erg s,1,1,1,0,0
lcar,18735,4,4,0,2,l car,1,1,1,1,0
dery,33515,4,4,0,2,d ery,1,1,1,1,0
expeditiously,342784,13,11,2,3,exp edit iously,0,0,1,0,0
leukoplakia,50033,11,8,3,5,le uk opl ak ia,0,0,0,0,0
fiore,443970,5,5,0,2,fi ore,1,1,1,0,0
goldthwait,31729,10,9,1,3,gold th wait,0,1,0,0,0
montery,13693,7,7,0,2,mon tery,1,1,1,0,0
roncalli,38822,8,7,1,3,ron call i,0,1,0,0,0
almac,20585,5,4,1,2,alm ac,1,1,0,0,0
ultrabass,26797,9,7,2,4,ul tr ab ass,0,1,0,0,0
leichardt,18327,9,9,0,3,leich ard t,1,1,1,0,0
comosus,13143,7,5,2,3,com os us,1,1,1,0,0
wkbt,44797,4,4,0,2,wk bt,1,1,1,1,1
analvibrator,99660,12,9,3,3,anal v ibrator,0,1,0,0,0
yaeyama,15905,7,4,3,3,ya ey ama,1,0,0,0,0
lynndie,45564,7,6,1,3,lyn nd ie,1,1,0,0,0
gelled,59566,6,4,2,2,g elled,0,1,0,0,0
diwani,38159,6,5,1,3,di w ani,1,1,0,1,1
wolgast,12834,7,7,0,3,w olg ast,1,1,1,1,1
hexapoda,95413,8,7,1,3,hex ap oda,1,1,0,0,0
stereotype,859245,10,7,3,2,st ereotype,0,1,0,0,0
strument,19403,8,7,1,1,strument,0,1,0,0,0
voxtrot,16090,7,5,2,3,vo xt rot,0,0,0,0,0
westfir,18767,7,7,0,2,west fir,1,1,1,0,0
requited,24705,8,7,1,2,requ ited,0,1,0,1,1
mamane,16154,6,4,2,3,m am ane,0,1,0,1,0
ipfix,144596,5,4,1,2,ip fix,0,1,0,0,0
rosea,157986,5,5,0,2,rose a,1,1,0,0,0
ganson,21649,6,5,1,2,g anson,1,1,0,1,0
mooresburg,13100,10,8,2,4,m oo res burg,0,1,0,0,0
reversers,13947,9,4,5,3,re vers ers,0,0,0,0,0
resentment,922399,10,6,4,2,resent ment,0,1,0,0,0
severest,76341,8,5,3,3,se ver est,0,1,0,0,0
autorizzazioni,15018,14,8,6,3,autor izz azioni,0,0,0,0,0
commisions,38572,10,6,4,2,comm isions,0,0,0,0,0
kasprowicz,32611,10,10,0,4,k asp row icz,1,1,1,0,1
iso,20728145,3,3,0,1,iso,1,1,1,1,0
pclk,16614,4,4,0,2,p clk,1,1,1,1,1
goldhil,28895,7,6,1,2,gold hil,1,1,0,1,0
verview,77354,7,5,2,2,ver view,0,0,0,0,0
groundnuts,57022,10,8,2,2,ground nuts,1,0,0,0,0
eucalyptus,1020001,10,9,1,5,e uc aly pt us,1,1,0,0,0
funcionar,19792,9,8,1,3,func ion ar,1,1,0,0,0
kindt,24074,5,5,0,2,kind t,1,1,1,1,1
agent,57103658,5,5,0,1,agent,1,1,1,1,0
chukka,81506,6,5,1,3,ch uk ka,0,1,0,0,0
repartition,54997,11,8,3,2,re partition,0,1,0,0,0
bussiere,17884,8,6,2,3,b uss iere,1,1,0,0,0
maladministration,56197,17,10,7,2,mal administration,0,0,0,0,0
temptation,2536564,10,8,2,2,tempt ation,0,1,0,0,0
comparator,673185,10,7,3,2,com parator,0,0,0,0,0
uil,165811,3,3,0,1,uil,1,1,1,1,0
tiere,110524,5,4,1,2,ti ere,1,1,1,1,1
pacif,28013,5,5,0,2,pac if,1,1,1,0,0
ferre,547463,5,3,2,2,fer re,1,1,0,0,0
bielefeld,335639,9,6,3,3,bie le feld,0,0,0,0,0
harajuku,137288,8,6,2,3,har aj uku,1,1,0,0,0
rave,2747392,4,4,0,2,r ave,1,1,1,0,1
powererd,15253,8,6,2,2,power erd,0,1,0,0,0
kaskaskia,58454,9,4,5,4,k ask ask ia,0,0,0,0,0
easthampton,175318,11,9,2,3,east ham pton,0,1,0,0,0
maintaine,35455,9,6,3,2,maint aine,0,1,0,0,0
atpases,113710,7,5,2,3,at p ases,1,1,0,0,0
impara,14590,6,5,1,2,im para,1,1,0,1,1
aster,718311,5,5,0,1,aster,1,1,1,0,0
wwwinfoseek,30995,11,8,3,3,www info seek,0,1,0,0,0
departmentof,18248,12,10,2,2,department of,0,0,0,0,0
beilein,14163,7,5,2,3,be ile in,0,1,0,0,0
tagcloud,91013,8,8,0,2,tag cloud,1,1,1,1,1
bacara,28646,6,4,2,2,bac ara,1,1,0,0,0
acrylic,6241613,7,6,1,2,ac rylic,0,1,0,1,0
gottes,50735,6,5,1,2,g ottes,0,1,0,0,0
einai,733053,5,4,1,2,ein ai,0,1,0,0,0
browntown,31792,9,6,3,4,b row nt own,0,1,0,0,0
kenosha,808381,7,7,0,3,ken os ha,1,1,1,1,0
startd,18517,6,5,1,2,start d,0,0,0,0,0
rrsume,28121,6,5,1,2,rr sume,1,1,1,1,1
tegmark,20964,7,7,0,3,te g mark,1,1,1,1,0
lesquels,35615,8,5,3,3,les qu els,0,0,0,0,0
menuing,18121,7,6,1,2,menu ing,1,1,0,0,0
laforge,88765,7,7,0,2,la forge,1,1,1,1,1
lufia,35386,5,5,0,3,l uf ia,1,1,0,0,0
transas,13277,7,5,2,2,trans as,1,1,0,0,0
pheasant,884202,8,7,1,2,phe asant,0,0,0,0,0
lysates,243901,7,6,1,2,lys ates,0,1,0,1,0
theys,22931,5,5,0,2,the ys,1,1,1,0,0
neanche,12933,7,5,2,2,ne anche,1,0,0,0,0
trungpa,49567,7,7,0,3,tr ung pa,1,1,1,1,1
spgb,18446,4,4,0,2,sp gb,1,1,1,0,1
stratics,302985,8,6,2,2,str atics,1,0,0,1,0
houches,56682,7,6,1,3,h ouch es,0,1,0,0,0
yarrawonga,55321,10,7,3,3,yar raw onga,0,0,0,0,0
leva,175180,4,4,0,2,lev a,1,1,1,0,1
lpq,54870,3,3,0,2,lp q,1,1,1,1,1
charro,98746,6,5,1,2,char ro,1,1,1,0,0
doppelbock,21861,10,8,2,4,d oppel bo ck,1,1,1,0,0
okoboji,75100,7,5,2,3,ok ob oji,0,0,0,0,0
frigg,30366,5,4,1,2,fr igg,1,1,0,0,0
miracolati,24767,10,8,2,4,mir ac ol ati,1,1,1,0,0
sssr,197925,4,2,2,2,ss sr,1,1,0,0,1
ilot,17114,4,4,0,1,ilot,1,1,1,1,1
unisom,20455,6,6,0,3,un is om,1,1,1,0,1
pestana,133927,7,6,1,2,pest ana,1,1,0,1,0
yiddish,1342730,7,5,2,3,y idd ish,0,1,0,0,0
bowfinger,32445,9,9,0,2,bow finger,1,1,1,0,0
walibi,46523,6,5,1,2,wal ibi,1,1,0,0,0
bocking,26356,7,7,0,3,bo ck ing,1,1,1,0,0
phenteremine,52451,12,8,4,4,ph enter em ine,0,0,0,0,0
gondola,538006,7,6,1,3,g ond ola,1,1,1,0,1
lassalle,28941,8,4,4,2,lass alle,0,0,0,0,0
biedl,18563,5,5,0,3,b ied l,1,1,1,1,0
ormes,21924,5,5,0,2,orm es,1,1,1,1,1
plaf,76833,4,4,0,2,pl af,0,1,1,1,1
coumarin,64430,8,8,0,3,cou mar in,1,1,0,0,0
culturales,41807,10,8,2,3,c ultur ales,0,1,0,0,0
takara,319120,6,4,2,3,t ak ara,1,1,0,0,0
conten,23883,6,5,1,2,cont en,1,1,0,0,0
ugl,25897,3,3,0,2,ug l,1,1,1,0,0
emptyplugin,56140,11,10,1,2,empty plugin,0,0,0,0,0
implemention,36301,12,8,4,2,implement ion,0,0,0,0,0
cab,9268943,3,3,0,1,cab,1,1,1,1,0
bloodfeather,13266,12,10,2,3,blood fe ather,0,1,0,0,0
crg,195099,3,3,0,2,c rg,1,1,1,1,1
igloolik,23558,8,5,3,4,ig lo ol ik,0,1,0,0,0
idealo,104198,6,6,0,2,ide alo,1,1,1,0,0
borderfree,20592,10,6,4,2,border free,0,0,0,0,0
foreward,96531,8,7,1,2,fore ward,1,1,0,0,0
espm,15840,4,4,0,2,es pm,1,1,1,1,1
woosley,48083,7,6,1,3,wo os ley,1,1,1,1,0
appliancekitchen,14380,16,10,6,4,ap pliance k itchen,0,0,0,0,0
bosne,13278,5,5,0,2,bos ne,1,1,1,0,1
teledyski,19672,9,8,1,4,te led ys ki,0,1,1,1,0
attitudinal,237878,11,7,4,3,att itud inal,0,0,0,0,0
jhaveri,16950,7,7,0,3,jh aver i,1,1,1,1,1
priciples,14132,9,7,2,3,pr icip les,0,1,0,0,0
nigms,118955,5,5,0,3,n ig ms,1,1,1,0,1
mixed,25395056,5,5,0,1,mixed,1,1,1,1,1
filesys,66129,7,6,1,2,files ys,0,0,0,0,0
familiy,55510,7,6,1,4,f am ili y,0,1,1,1,0
winns,46583,5,4,1,2,win ns,1,1,1,0,0
lendl,44266,5,4,1,2,l endl,1,1,0,0,0
adulterers,58952,10,8,2,4,ad ul ter ers,1,1,0,0,0
knows,24640096,5,5,0,2,know s,1,1,1,0,1
araz,19436,4,3,1,2,ar az,1,1,0,0,0
cialists,13850,8,6,2,2,cial ists,0,1,0,0,0
canaca,27388,6,3,3,2,can aca,1,1,0,0,0
ethylene,1164058,8,6,2,1,ethylene,0,1,0,0,0
coterie,103331,7,6,1,3,c oter ie,0,1,0,0,0
mollys,16777,6,5,1,3,m olly s,1,1,0,0,0
germanica,41274,9,8,1,3,ger man ica,1,1,0,0,0
gurations,14580,9,9,0,2,g urations,1,1,1,1,1
jambi,43218,5,5,0,2,j ambi,1,1,1,1,0
travelinsurance,20099,15,11,4,2,travel insurance,0,1,0,0,0
imputable,14773,9,9,0,3,im put able,0,1,1,1,1
phantasie,14419,9,8,1,3,phant as ie,1,1,1,1,0
jasminum,25191,8,7,1,3,jas min um,0,1,0,0,0
gnostics,96756,8,7,1,3,gn ost ics,1,1,0,0,0
pared,464171,5,5,0,1,pared,1,1,1,1,0
veneris,37290,7,6,1,3,v ener is,0,1,1,0,1
onaway,32079,6,5,1,2,on away,1,1,0,0,0
eskimos,238101,7,6,1,2,esk imos,0,1,0,0,0
abramovic,27370,9,8,1,3,ab ram ovic,1,1,0,1,0
ioynioy,24049,7,4,3,4,io yn io y,1,1,0,1,1
gte,576107,3,3,0,1,gte,1,1,1,0,0
botelho,54906,7,6,1,2,bot elho,1,1,0,1,0
celyn,16198,5,5,0,2,c elyn,1,1,1,1,0
vegws,30563,5,5,0,3,ve g ws,1,1,1,1,1
listtext,17369,8,6,2,2,list text,0,0,0,0,0
lianna,27419,6,4,2,2,li anna,1,1,0,0,0
wwwrunescapecom,30991,15,11,4,4,www run escape com,0,0,0,0,0
gondii,118921,6,5,1,3,g ond ii,1,1,0,0,0
faisalabad,148530,10,7,3,3,f aisal abad,0,0,0,0,0
pcga,347582,4,4,0,2,pc ga,0,1,1,1,1
garavani,39094,8,6,2,3,gar av ani,0,1,0,0,0
dvbt,34022,4,4,0,2,dv bt,1,1,1,1,1
brelse,15517,6,5,1,3,b rel se,0,1,0,1,0
leeg,34495,4,3,1,2,le eg,1,1,1,1,1
kalim,25412,5,5,0,2,kal im,1,1,1,0,0
gilbane,55191,7,7,0,2,gil bane,1,1,1,1,0
supercooled,54758,11,9,2,3,super co oled,0,1,1,1,0
beseiged,12823,8,6,2,4,b ese ig ed,0,1,0,0,0
pones,15620,5,5,0,2,pon es,1,1,1,0,0
brogues,41865,7,7,0,3,b rog ues,1,1,0,0,0
kirschenbaum,62980,12,12,0,4,k irs chen baum,1,1,1,1,0
aronia,14766,6,5,1,2,aron ia,1,1,0,0,0
scheldt,39095,7,7,0,3,sch eld t,1,1,1,1,0
noora,28675,5,4,1,2,no ora,1,0,1,1,1
spirent,92373,7,7,0,3,sp ire nt,1,1,1,1,1
bungalo,17663,7,7,0,2,bung alo,1,1,1,1,1
gesehen,48678,7,5,2,2,g esehen,0,0,0,0,0
aperson,13910,7,7,0,2,ap erson,1,1,1,1,0
quinion,17570,7,5,2,2,quin ion,0,1,0,0,0
clin,3914330,4,4,0,1,clin,1,1,1,0,0
payspark,31599,8,6,2,3,p ays park,0,0,0,0,0
rejoicing,419630,9,8,1,3,re jo icing,1,1,0,0,0
unaccountably,37055,13,9,4,3,un account ably,0,0,0,0,0
hoyos,51923,5,4,1,3,h oy os,1,1,1,1,1
fgsc,30209,4,4,0,2,fg sc,1,1,1,1,1
infantilism,50421,11,8,3,4,inf ant il ism,1,0,0,0,0
qrq,35077,3,2,1,2,qr q,1,1,0,0,0
roadster,1249088,8,7,1,2,road ster,1,1,0,0,1
amico,781408,5,5,0,2,am ico,1,1,1,0,0
unscrewing,88402,10,9,1,3,uns cre wing,1,1,0,0,0
elec,2202818,4,3,1,2,ele c,1,1,0,0,1
scopebuggy,17843,10,9,1,3,scope bug gy,0,1,0,0,0
cassopolis,37577,10,7,3,4,c ass opol is,0,0,0,0,0
cytotec,63855,7,5,2,3,cy tot ec,1,1,0,0,0
tgl,121814,3,3,0,1,tgl,1,1,1,1,0
breds,15322,5,5,0,2,b reds,1,1,1,0,0
wain,129640,4,4,0,2,w ain,1,1,1,0,1
plmn,114594,4,4,0,2,pl mn,1,1,1,1,0
cannonvale,21609,10,7,3,3,c annon vale,0,1,0,0,0
hocks,71483,5,5,0,2,h ocks,1,1,1,0,0
micropogonias,12995,13,10,3,5,mic rop og on ias,0,1,0,0,0
mobutu,93097,6,5,1,3,mob ut u,1,1,0,0,0
peroxidase,575596,10,9,1,3,per oxid ase,1,1,0,0,0
expandcommonvariables,22052,21,15,6,3,expand common variables,0,0,0,0,0
haiz,45193,4,4,0,2,ha iz,1,1,1,0,0
daypoems,115292,8,8,0,3,day po ems,1,1,1,1,0
lowenthal,83018,9,8,1,2,low enthal,0,1,0,0,0
mcgee,1624565,5,4,1,2,mc gee,1,1,1,1,0
lxvii,34563,5,4,1,3,lx v ii,0,1,1,0,0
acapulco,1630701,8,6,2,4,ac ap ul co,0,1,0,0,0
mfrgroup,24584,8,7,1,3,m fr group,1,0,0,0,0
gsoap,19715,5,5,0,2,g soap,1,1,1,1,0
movingly,45712,8,8,0,2,moving ly,1,1,1,0,0
hungarians,214061,10,8,2,2,hung arians,0,0,0,0,0
riverchase,28372,10,8,2,3,river ch ase,1,1,0,0,0
apob,48487,4,4,0,2,ap ob,1,1,1,0,0
ucar,209511,4,4,0,2,uc ar,1,1,1,1,1
trabucco,14317,8,7,1,4,tr ab ucc o,0,1,0,0,0
stepup,21578,6,5,1,2,step up,1,1,0,0,0
freepia,15068,7,6,1,3,fre ep ia,1,1,0,1,1
astroman,23054,8,7,1,2,ast roman,1,1,0,1,0
tremonti,24845,8,7,1,4,t rem ont i,1,1,0,0,0
brassens,30868,8,6,2,3,br ass ens,0,1,0,0,0
warze,29875,5,5,0,2,war ze,1,1,1,0,0
skuthwest,27152,9,7,2,3,sk uth west,0,0,0,0,0
pcsc,98021,4,3,1,2,pc sc,1,1,0,1,0
weightless,179076,10,8,2,2,weight less,0,1,0,0,0
tasneem,18665,7,6,1,3,tas ne em,1,1,0,0,0
schrijver,50701,9,8,1,3,sch rij ver,1,1,0,0,0
lansoprazole,114518,12,9,3,5,l ans op raz ole,0,1,0,0,0
amsec,14758,5,5,0,2,am sec,1,1,1,1,1
utensils,1898846,8,7,1,3,ut ens ils,1,1,0,0,0
olicamp,31844,7,7,0,2,olic amp,1,1,1,1,1
preliminary,13106833,11,9,2,3,pre lim inary,0,0,0,0,0
weatherwise,31502,11,8,3,2,weather wise,0,0,0,0,0
galkin,16350,6,6,0,3,g alk in,1,1,1,0,0
vassar,507917,6,4,2,3,v ass ar,0,1,1,0,0
maidan,81607,6,5,1,2,maid an,1,1,1,1,0
mirthful,30892,8,8,0,3,m irth ful,1,1,1,1,0
actuating,103299,9,7,2,2,act uating,0,1,0,0,0
yagudin,15562,7,7,0,4,y ag ud in,0,1,1,1,1
manuale,344674,7,6,1,2,man uale,1,1,0,1,1
moeller,402740,7,5,2,2,mo eller,0,1,0,0,0
zamolodchikov,14592,13,11,2,7,z am ol od ch ik ov,0,1,0,0,0
ravich,13410,6,6,0,3,r av ich,1,1,1,0,0
mayfield,1545493,8,8,0,2,may field,1,1,1,1,1
oenb,16226,4,4,0,2,oen b,1,1,1,1,1
cwru,114885,4,4,0,2,cw ru,1,1,1,1,1
disconnecting,338959,13,9,4,2,disconnect ing,0,0,0,0,0
trezevant,18042,9,7,2,3,tre ze vant,0,1,0,0,1
ncch,19765,4,3,1,2,nc ch,1,1,0,1,0
alturion,21782,8,8,0,3,alt ur ion,1,1,1,1,0
recursive,2213452,9,7,2,1,recursive,0,1,0,0,1
betterworldbooks,26131,16,10,6,3,better world books,0,0,0,0,0
brasiliano,25679,10,8,2,3,br asil iano,0,1,0,1,0
hepsera,45090,7,6,1,4,he p ser a,0,1,0,1,1
will,1356293641,4,3,1,1,will,1,1,0,0,0
yellows,301593,7,6,1,3,y ell ows,0,1,0,1,0
insecta,295014,7,7,0,3,in sect a,0,1,1,0,0
puted,64325,5,5,0,1,puted,1,1,1,1,1
webforce,31210,8,7,1,2,web force,0,1,0,0,0
tanf,996483,4,4,0,2,tan f,1,1,1,1,1
celebritiy,14159,10,8,2,3,cele brit iy,0,1,0,0,0
mccormick,1777843,9,6,3,4,m cc orm ick,0,1,0,0,0
tascona,17180,7,6,1,2,tas cona,1,1,0,1,1
goldson,21392,7,6,1,2,gold son,0,1,0,1,1
santhanam,20919,9,6,3,4,s anth an am,0,1,0,0,0
phac,24879,4,4,0,2,ph ac,1,1,1,0,0
disapointment,33507,13,10,3,3,dis ap ointment,0,0,0,0,0
ohmi,12855,4,4,0,2,oh mi,1,1,1,1,1
bredbury,18356,8,6,2,2,bred bury,0,0,0,1,0
heslin,24292,6,6,0,2,hes lin,1,1,1,0,1
pmquote,85223,7,7,0,2,pm quote,1,1,1,1,1
friberg,66509,7,6,1,3,f ri berg,0,1,1,1,0
pasjans,17536,7,5,2,3,pas j ans,0,1,0,0,0
soundmelody,59201,11,9,2,3,sound mel ody,0,0,0,0,0
sensitizers,25809,11,7,4,4,s ens it izers,0,1,0,0,0
juncaceae,21790,9,6,3,4,j unc ace ae,0,1,0,0,0
sompopo,24846,7,4,3,3,som pop o,1,1,0,0,0
lgbti,31734,5,5,0,3,l gb ti,1,1,1,1,1
kidneys,1216443,7,7,0,2,kid neys,1,1,0,0,0
masco,65972,5,5,0,2,mas co,1,1,1,1,1
zonguldak,20511,9,9,0,4,z ong uld ak,1,1,1,0,1
newburyport,294249,11,10,1,3,new bury port,1,1,0,0,0
cottman,45806,7,6,1,2,cott man,0,1,0,0,0
mcpc,18395,4,3,1,2,mc pc,1,1,0,0,0
meandered,58664,9,6,3,3,me ander ed,0,1,0,0,0
frisby,90950,6,6,0,3,fr is by,1,1,1,1,1
snarls,77664,6,5,1,3,sn ar ls,1,1,0,0,0
depois,66962,6,6,0,3,de po is,1,1,1,0,0
bryzgalov,19817,9,9,0,5,b ry z gal ov,1,1,0,1,1
cfcnet,60162,6,5,1,3,c fc net,1,1,0,0,1
nandor,62952,6,5,1,3,n and or,1,1,0,0,0
alleon,47481,6,5,1,2,alle on,0,1,1,0,0
yodeling,55680,8,8,0,3,y odel ing,1,1,0,0,0
benificial,18505,10,8,2,2,ben ificial,0,0,0,0,0
wellfield,47121,9,6,3,2,well field,0,0,0,0,0
adolfsson,18575,9,7,2,3,ad olf sson,0,1,0,1,0
witley,29366,6,6,0,3,w itle y,1,1,1,1,1
matobos,27443,7,6,1,3,mat ob os,0,1,0,0,0
crespo,224580,6,6,0,3,c res po,1,1,0,0,0
culprit,722061,7,7,0,2,cul prit,1,1,1,0,0
wrightington,17332,12,8,4,2,wright ington,0,0,0,0,0
actors,12149923,6,6,0,1,actors,1,1,1,0,0
lebar,44757,5,5,0,2,le bar,1,1,1,0,0
internetnz,19520,10,6,4,2,internet nz,0,0,0,0,0
bakkie,20086,6,5,1,3,b akk ie,1,1,0,0,0
getcontenttype,20809,14,8,6,3,get content type,0,0,0,0,0
photodvd,19279,8,6,2,3,phot od vd,0,1,0,0,0
pelicans,237707,8,8,0,2,pel icans,0,1,0,0,0
specified,48284665,9,7,2,1,specified,0,1,0,0,0
comminatio,25523,10,7,3,3,com min atio,0,0,0,0,0
nonlocal,155661,8,5,3,2,non local,0,1,0,0,0
muzzleloader,102068,12,9,3,3,m uzzle loader,0,0,0,0,0
doqq,25954,4,3,1,2,do qq,1,1,0,0,0
toynbee,118196,7,6,1,3,to yn bee,1,1,0,0,0
yatala,27645,6,4,2,3,y atal a,0,1,0,0,0
lotz,122665,4,4,0,2,lot z,1,1,1,1,0
teraflop,15330,8,8,0,3,ter af lop,0,1,1,1,0
heitz,53180,5,5,0,2,he itz,1,1,1,0,0
brainstormed,64801,12,11,1,3,brain storm ed,1,1,0,0,1
cworld,30416,6,6,0,2,c world,1,1,1,1,1
discourage,1584422,10,10,0,2,disc ourage,1,0,0,0,0
mepg,40399,4,4,0,3,m ep g,1,1,1,1,1
jaeckel,20382,7,6,1,4,ja e ck el,0,1,0,1,0
msi,3369940,3,3,0,2,ms i,1,1,1,1,0
jamella,19983,7,5,2,2,jam ella,1,1,1,0,0
newhan,16556,6,5,1,2,new han,1,1,0,0,0
roborumble,25384,10,7,3,3,ro bor umble,1,1,0,0,0
lubow,21825,5,5,0,3,l ub ow,1,1,1,0,0
acclivity,39015,9,7,2,3,ac cl ivity,0,1,0,0,0
booklets,1511249,8,7,1,2,book lets,1,1,0,0,0
backsplash,138104,10,8,2,2,backs plash,0,0,0,0,0
mairangi,22477,8,6,2,3,m air angi,0,1,1,1,0
fio,118165,3,3,0,2,f io,1,1,1,0,1
historylink,32261,11,10,1,2,history link,0,0,0,1,0
yanco,19034,5,5,0,2,yan co,1,1,1,1,1
ultricies,21004,9,8,1,3,ul tr icies,1,1,1,0,0
iqraa,18080,5,4,1,3,iq ra a,1,1,0,0,1
erfolg,45698,6,6,0,3,er fol g,1,1,1,0,0
jesolo,1259860,6,5,1,2,jes olo,0,1,0,0,0
dnalpma,27301,7,6,1,4,dn al p ma,1,1,0,0,0
sabatino,53286,8,7,1,4,s ab at ino,1,1,1,1,1
electrostatics,103197,14,9,5,4,elect ro static s,0,0,0,0,0
resuscitate,125444,11,8,3,3,res usc itate,0,0,0,0,0
pcmc,24285,4,3,1,2,pc mc,1,1,0,1,1
oure,41943,4,4,0,1,oure,1,1,1,1,1
broadmoor,157800,9,6,3,4,b road mo or,0,1,0,0,0
possessive,283912,10,6,4,3,poss ess ive,0,1,0,0,0
boos,451556,4,3,1,2,bo os,0,1,1,1,1
ascidians,15561,9,6,3,3,asc id ians,0,1,0,0,0
translatable,80377,12,8,4,2,trans latable,0,1,0,0,0
vicino,112467,6,5,1,2,vic ino,0,1,0,0,0
masquerading,377403,12,11,1,3,mas quer ading,1,1,0,1,0
reputable,2092298,9,8,1,3,re put able,1,1,0,0,0
zymol,52254,5,5,0,2,zym ol,1,1,1,1,1
soulmatch,68697,9,9,0,3,s oul match,1,1,1,0,0
lagopus,41421,7,7,0,2,lag opus,1,1,1,1,0
ramekin,46260,7,7,0,2,rame kin,1,1,1,1,0
hereairline,32586,11,7,4,3,here air line,0,0,0,0,0
musgrave,393204,8,8,0,2,mus grave,1,1,1,1,1
hilmor,17997,6,6,0,3,h ilm or,1,1,0,1,1
intimidators,17993,12,9,3,3,int imid ators,0,0,0,0,0
unscientific,197286,12,8,4,2,un scientific,0,0,0,0,0
cakes,5565500,5,5,0,1,cakes,1,1,1,0,0
zookey,15315,6,5,1,3,z oo key,1,1,1,1,1
palinet,26665,7,7,0,2,pal inet,1,1,1,1,1
penttila,12926,8,7,1,3,pent til a,0,1,0,1,0
bedste,32388,6,5,1,2,bed ste,1,1,0,1,1
yogol,12712,5,4,1,3,y og ol,0,1,1,1,0
mtom,24696,4,3,1,2,mt om,1,1,0,0,1
wowtvd,35406,6,5,1,3,wow t vd,1,1,0,1,1
radixforum,19522,10,9,1,3,rad ix forum,1,1,0,0,0
tubin,26234,5,5,0,3,t ub in,1,1,1,1,1
elveden,13301,7,5,2,3,el ved en,0,1,0,0,0
neuropathy,781009,10,10,0,4,ne u rop athy,1,1,0,0,0
workworld,15173,9,6,3,2,work world,0,1,1,1,0
obvis,27184,5,5,0,2,ob vis,1,1,1,0,0
lebedev,119652,7,5,2,3,le bed ev,0,0,0,0,0
schoesler,17854,9,7,2,4,s cho es ler,0,1,0,0,0
xffm,32843,4,3,1,2,xff m,1,1,0,0,1
spunkmouth,17542,10,9,1,3,sp unk mouth,1,1,0,0,0
taormino,16124,8,7,1,3,ta orm ino,1,1,0,0,0
malnutrition,990258,12,9,3,2,mal nutrition,0,0,0,0,0
sequinned,22964,9,7,2,2,sequ inned,0,1,0,0,0
deathray,15445,8,7,1,2,death ray,0,1,0,0,0
aschaffenburg,49331,13,11,2,4,as ch aff enburg,0,1,0,0,0
preuves,13719,7,6,1,3,pre u ves,0,1,0,0,1
fgetc,118989,5,5,0,2,f getc,1,1,0,1,1
fleagle,17165,7,5,2,3,f le agle,1,0,0,0,0
centerburg,34318,10,8,2,2,center burg,0,0,0,0,0
chicanas,14143,8,6,2,3,ch ican as,1,1,0,0,0
ossi,53313,4,3,1,2,oss i,1,1,1,0,0
zelia,12795,5,5,0,2,zel ia,1,1,1,0,1
cattrall,146231,8,5,3,3,c attr all,0,1,0,0,0
adapted,6767295,7,5,2,2,adapt ed,0,1,0,0,1
oligodeoxynucleotides,25018,21,13,8,8,ol ig ode ox yn ucle ot ides,0,0,0,0,0
zvornik,24793,7,7,0,4,z v orn ik,1,1,1,1,0
dpt,665373,3,3,0,2,d pt,1,1,1,1,1
dependably,38072,10,8,2,2,depend ably,0,1,0,0,0
ds,21532272,2,2,0,1,ds,1,1,1,0,0
maxm,51557,4,3,1,2,max m,1,1,0,0,1
blurts,37927,6,6,0,2,blur ts,1,1,1,0,0
stringc,25935,7,7,0,2,string c,1,1,1,1,1
yamanashi,87050,9,7,2,3,y aman ashi,0,0,0,0,0
graphpad,19915,8,6,2,2,graph pad,0,0,0,0,0
datastorm,74175,9,7,2,2,data storm,0,0,0,0,0
longworth,191983,9,8,1,2,long worth,0,0,0,1,0
hochzeits,14441,9,8,1,4,h och ze its,0,0,0,0,0
roychowdhury,23133,12,8,4,5,roy ch ow dh ury,0,0,0,0,0
vrooman,21933,7,6,1,3,v room an,0,1,0,0,0
soloed,25445,6,5,1,3,s olo ed,1,1,0,1,1
wwwiflyswacom,30984,13,10,3,5,www if ly sw acom,0,0,0,0,0
teleinteractive,14165,15,9,6,2,tele interactive,0,0,0,0,0
sadagopan,32962,9,7,2,4,sad ag op an,0,1,0,0,0
eintrag,185439,7,7,0,2,ein trag,1,1,1,1,0
enuff,161408,5,4,1,2,en uff,0,1,1,0,0
autofinder,90048,10,10,0,3,aut of inder,1,1,1,1,0
